news_body,news_source,news_thread,news_time,news_title,news_url,source_url
,,FB03GN9L0001982T,,蜡笔小新30岁，没有爸爸了_谈心社_网易新闻,https://news.163.com/20/0424/14/FB03GN9L0001982T.html,
"
                        （原标题：郴州北湖区原团委书记楚挺征被逮捕，涉嫌强制猥亵罪）
                    ,4月24日，澎湃新闻从湖南省郴州市北湖区委宣传部获悉，共青团北湖区委原书记楚挺征涉嫌强制猥亵罪，目前已被警方执行逮捕。,据澎湃新闻此前报道，郴州青年女企业家阳娇（化名）实名举报称，在今年3月31日晚的一次饭局后，她被时任北湖区团委书记的楚挺征拉到包厢内，按倒在沙发上进行猥亵，“还强行脱下我的裤子意图施暴。”直到她的一名同学赶来，楚挺征才松手离开。,4月6日，北湖区委决定免去楚挺征党内职务，按程序免去其他职务，并由北湖区纪委立案审查其违纪行为；对违规参与吃请的其他公职人员，视情节依规依纪给予相应问责处理。,事发后，接到报警的郴州市公安局北湖分局立案侦查，以涉嫌强制猥亵罪，对楚挺征刑事拘留。,“85后”的楚挺征大学期间曾学习法学专业，毕业后从事过检察官、区政府办秘书等工作，2018年5月起任共青团北湖区第四届委员会书记。,4月24日，北湖区委网信办负责人告诉澎湃新闻，楚挺征涉嫌强制猥亵罪，经检察机关批准，郴州市公安局北湖分局近日对其执行逮捕，目前案件仍在按程序办理。,近日，湖南郴州一名女企业家实名举报称，她在一次饭局后，被北湖区团委书记楚挺征猥亵，幸好有同学赶到。,一场饭局之后，湖南郴州北湖区团委书记楚挺征职务被免，纪委立案审查，当地警方也对其展开调查。",澎湃新闻,FAVOQ5BR0001899O,2020-04-24 11:41:44, 女企业家遭团委书记拖拽 涉事者因强制猥亵罪被捕_网易新闻,https://news.163.com/20/0424/11/FAVOQ5BR0001899O.html,https://www.thepaper.cn/newsDetail_forward_7117803
"
                        （原标题：网红举报绵阳东辰初中副校长性骚扰：曾因此服安眠药自杀，近200名同学出面指证 学校：停职展开调查）
                    ,
	,
	,
						,
						,
					,4月23日，经过两天的搜集整理，举报四川绵阳市东辰国际学校初中部副校长吴某的女学生周某，将搜集到的近200位学生的部分“证词”公布给媒体记者。这些“证词”，多提及吴某存在性骚扰和暴力体罚学生的行为。,前天，周某在微博@周贝蕾Manon上视频出镜，举报四川绵阳市东辰国际学校初中部副校长吴某性骚扰，出现包括触碰下体，扣内衣带等行为。涉事学校也发布微博称，已停止吴某职务，并成立调查组调查核实。,23日上午，周某告诉封面新闻，受此事影响，她曾服用安眠药试图自杀。下午4点多，封面新闻记者获悉，涪城区成立的联合调查组已经正式入驻东辰国际学校，对吴某性骚扰一事展开调查。,4月17日凌晨，微博@午夜的龙猫电台发布一条信息。博主称，初中班主任吴老师要去新学校当校长，请大家转发。,博主回忆，班主任会对每个男生拳打脚踢，扇耳光，体罚跑操场。尤其对“个别”女生明目张胆地性骚扰。博主还表示，“相对于女生而言，我的伤害其实不算什么”。,微博@午夜的龙猫电台的信息一经发出，不少人开始关注这位即将荣升校长的吴老师。而4月21日晚，微博@周贝蕾Manon的周姓女博主转发后，更是直接将事件推成焦点。,周某在转发信息中表示，“我也是被他性骚扰的其中一位学生，13年过去了...”作为一名美妆博主，周某有94万粉丝，是名副其实的小网红。随后，不少人在周某的微博下留言，讲述自己受到吴某虐待的经历。,网友“chaochaochao爱喝越王楼酒-”留言称，他是16班的，经常被吴某殴打，并且还被问父亲是不是亲生父亲。“太侮辱人了，我这辈子都记得到”。,4月22日下午17时，微博@周贝蕾Manon发布了一条5分钟左右的视频。视频中，该博主周某表示其13年前就读于绵阳东辰国际学校，是09级15班的学生。此前提到的吴某，正是周某的班主任。,“吴某经常对我动手动脚，比如把我叫到办公室里，拉我的手，拍打我的屁股......在班级需要打疫苗的时候，我实在很害怕，他直接让我坐在大腿上，搂着我的腰，带我打疫苗。”视频中，周某说，吴某还会去摸她的背，扣内衣上的扣子。,周某表示，一次，吴某带她去家里补习，然后说她的牛仔裤有点大，然后帮她把裤子往上提，用手摸她的下体。“我当时真的吓到，直接摔倒”。,23日下午，封面新闻记者联系到周某。周某说，“这件事后我就转学了，那段时间感觉压抑，有吃安眠药自杀。”,微博视频发出后，得到众多网友关注，截至23日下午，转评赞超过20万。随后，涉事的绵阳市东辰聚星国际学校发布官方微博表示：已停止吴某职务，并成立调查组，就反映情况开展调查核实工作。,4月23日凌晨两点，周某通过微博@周贝蕾Manon发布视频。两男两女自称吴某学生的网友发声，表示曾受到吴某的性骚扰和虐待，提及摸隐私部位，要求脱衣服看胸、语言侮辱以及“打耳光”虐待。,这段长8分7秒的视频，由一段录音和三段视频组成。在录音中，该女生是东辰初中06届16班的学生，吴某是其班主任。该女生提到，其曾遭到吴某性骚扰，初中二年级时，临近假期，家住外地的女生被吴某叫回家中。该女生睡在吴某女儿的床上，吴某摸了她的胸以及更隐秘的部位。第二段视频中，女生表示吴某曾要求她脱衣服看胸。,第三段视频和第四段视频由两位男生出镜。第一位男生提到，因为母亲重病无心听课被吴某打耳光，吴某在知道其母亲病重的情况下，辱骂男生“你母亲死了算了”。此外，一名自称为女学生周某同班同学的男生讲到，他是班级副班长，成绩长期班级前五。因为邀约两名同学去打篮球，被吴某打耳光。,两名男生在视频中，也提到了吴某对女士的性骚扰，包括贴脸等举动。4月23日下午，周某表示，她们目前已经搜集近200名学生的“证词”，均是对吴某性骚扰、体罚的“控诉”。,随后，封面新闻记者联系到两名反映此事件的学校学生。一名2012级的女学生李丽（化名）表示，因为吴某是年纪主任，有独立的办公室。读初二时，吴某因为各种事情，时常叫她去办公室，到了办公室，吴某就会过来抱她。一次，吴某还想亲李丽。,李丽说，吴某想抱她都会被她推开。后来，吴某每次叫她去办公室，她都会请同学陪着一起去。“实话实说，吴某教学很好，但是这种行为让人反感”。,
,此外，一名09级的学生刘杭（化名）告诉封面新闻记者，她印象最深的是初二时，一天晚自习，吴某叫她出去一下，说和她谈心。后来，吴某就说她的裤子是低腰裤，他们是面对面站着的，吴某把手伸过来摸刘杭的屁股，手伸到裤子里面摸。此事令刘杭就很反感，一边咂嘴翻白眼，一边闪躲了。“那个时候我一个人在外地上学，也胆小怕事，都不敢给家里说这些事。”,4月23日下午，封面新闻记者获悉，当日下午4点，绵阳市涪城区成立的联合调查组，已经正式入驻东辰国际学校，对吴某性骚扰一事展开调查。此前，封面新闻电话联系涉事的绵阳市东辰国际学校初中部副校长吴某，电话被挂断，发短信也未回复。",封面新闻,FAUMG7M10001899O,2020-04-24 01:42:07,网红举报中学副校长性骚扰 近200名同学出面指证_网易新闻,https://news.163.com/20/0424/01/FAUMG7M10001899O.html,http://www.thecover.cn/news/4104831
"罗志祥发布微博向周扬青道歉：,对于这份感情我要向 @周扬青 小姐,郑重的道歉对不起我错了！,你在这九年里为我付出了全部是我不懂得去珍惜这段感情不懂去珍惜一个最爱我的人幼稚及侥幸的心态一次又一次欺骗你让妳受伤难过,我确实犯了很多的错误我也要向被我欺骗过以及不尊重过的所有女性道歉,对不起我会承担这一切的后果 ,
",网易娱乐,FAV8NQU50001899O,2020-04-24 07:00:51,罗志祥向周扬青道歉：是我不懂得珍惜这段感情_网易新闻,https://news.163.com/20/0424/07/FAV8NQU50001899O.html,#
"
                        （原标题：婆婆遭儿媳嫌弃高速逆行回老家 称进城被儿媳嫌不讲卫生）
                    ,
	,
	,
						,
						,
					,4月21日，重庆渝北，一老人拖着行李在高速路上逆行，期间还翻越绿化带，多次尝试横穿路面，车辆纷纷减速避让。经了解，老人因儿媳嫌自己不爱卫生发生争吵，一气之下离家出走，试图步行走回老家奉节。,
",梨视频,FAVRPVRR0001899O,2020-04-24 12:34:04,婆婆拖行李高速逆行回老家 称被儿媳嫌弃不讲卫生_网易新闻,https://news.163.com/20/0424/12/FAVRPVRR0001899O.html,http://n.miaopai.com/media/KgHy8JDQJPQrCZuEjClcvltPMwAOVvZ4
"
                        （原标题：外媒称向wada举报孙杨参加集训）
                    ,
	,
	,
						,
						,
					,关于孙杨是否进入奥运备战名单的事情一波三折。先是央视表示不在名单上，随后泳协下发的集训文件泄露，孙杨名列其中，最后泳协出来宣布此前的文件作废。然而外媒《游泳世界》的总编辑克雷格·洛德表示，是他们看到集训文件之后，向WADA举报此事，然后中国泳协才把孙杨名字撤下的。,
",梨视频体育,FAVMN4F70001899O,2020-04-24 11:05:08,外媒称向wada举报孙杨参加集训 中国泳协才撤下他_网易新闻,https://news.163.com/20/0424/11/FAVMN4F70001899O.html,https://weibo.com/5999228575/IEMbkrCvZ?ref=home&rid=11_0_8_4727392257006208019_6_0_0&type=comment
"
                        （原标题：定了！中国首次火星探测任务命名“天问一号”）
                    ,
	,
	,
						,
						,
					,继月球探测任务命名为,“嫦娥系列”后,今天国家航天局正式发布,中国首次火星探测,任务名称 任务标识,行星探测任务命名为,以,作为工程的图形标识,中国首次火星探测任务名称为,中国首次火星探测任务标识为,“天问”来源于中国伟大诗人屈原的长诗,表达了中华民族对真理追求的坚韧与执著,体现了对自然和宇宙空间探索的文化传承,寓意探求科学真理征途漫漫,追求科技不断创新永无止境,中国行星探测工程作为一个整体概念,以“揽星九天”作为工程的图形标识,“揽星九天”,太阳系八大行星依次排开,表达了宇宙的五彩缤纷,呈现科学发现的丰富多彩,饱含动感 气韵流动,开放的椭圆轨道整体倾斜向上,展示了独特字母“C”的形象,代表了中国行星探测-China,体现着国际合作精神-Cooperation,标志着深空探测进入太空能力-C3,这组意义深远的名称与图形标识,将承载着中国人航天强国的梦想,为人类和平利用太空,推动构建人类命运共同体,贡献更多中国智慧 中国方案 中国力量,前往未至 发现未知,
,从2016年8月23日开始，中国火星探测工程名称和图形标识面向全球征集，海内外各界踊跃参加，共收到提交工程名称及图形标识作品35912个。经过网络投票共收获各地有效投票3278962张。无数优秀创意作品共同塑造了人类对火星探测的美好愿景。,目前，我国正在开展首次火星探测工程的研制工作。,按照计划，2020年我国将通过长征五号发射火星探测器，并通过一次发射实现火星环绕、着陆和巡视探测。在太阳系的八大行星中，火星与地球距离较近。火星跟地球有着相似的自转周期，为24小时37分。除此之外，在火星上还有春夏秋冬四季的更迭。正因为这些相似点，通过发射探测器了解火星的状况，获得更多信息，以此能够帮助人类更好地研究地球的演变与未来发展。探测器发射后，大约需要经过7个月左右的飞行抵达火星。,火星，我们来了！",央视新闻客户端,FAVJ2VR00001899O,2020-04-24 10:01:42,定了！中国首次火星探测任务命名“天问一号”_网易新闻,https://news.163.com/20/0424/10/FAVJ2VR00001899O.html,http://m.news.cctv.com/2020/04/24/ARTIVFdSbhzpgirwaFJv31AO200424.shtml
"
                        （原标题：钟南山为中国航天送祝福）
                    ,
	,
	,
						,
						,
					,【#钟南山为中国航天送祝福#】今天是第五个“中国航天日”。#钟南山说疫情挡不住航天豪情#。钟南山院士为中国航天送上祝福：“疫情挡不住航天豪情。我衷心祝愿祖国的航天事业蓬勃发展、蒸蒸日上，不断突破创新，夺取新的胜利！”网友：钟老和中国航天人都是我们的骄傲！加油，中国航天！,
",人民日报,FAVQGKEN00019B3E,2020-04-24 12:11:29,钟南山为中国航天送祝福：疫情挡不住航天豪情_网易新闻,https://news.163.com/20/0424/12/FAVQGKEN00019B3E.html,https://weibo.com/2803301701/IELQR10F0?from=page_1002062803301701_profile&wvr=6&mod=weibotime
"
                        （原标题：88岁老人看望97岁姐姐迷路：我们见不了几回了）
                    ,
	,
	,
						,
						,
					,4月23日，西安市民陈逶遇到一位88岁的迷路老太向他问路。老人说自己是偷偷出来看望97岁的姐姐，不想打电话让儿子来接，怕他担心。于是他一路开车把老人送回家，在看到老人刷卡进入小区后，他才驾车离开。,
",梨视频,FAVFL1OO0001899O,2020-04-24 09:01:39,88岁老人看望97岁姐姐迷路：我们见不了几回了_网易新闻,https://news.163.com/20/0424/09/FAVFL1OO0001899O.html,https://weibo.com/5943595658/IEH7XgkA0?from=page_1002065943595658_profile&wvr=6&mod=weibotime&type=comment
"
                        （原标题：吉利德科学盘中大跌，暂停交易！报道称瑞德西韦在第一次试验中失败）
                    ,吉利德科学盘中暂停交易。暂停交易前吉利德科学盘中跳水，跌超6%。有媒体报道其抗新冠病毒药物瑞德西韦在第一次试验中失败。,据英国金融时报：吉利德科学表示，研究结果没有给出有意义的结论。,被寄予厚望的抗病毒药物瑞德西韦（Remdesivir）近日在恒河猴试验中被证明有临床效果：能减轻肺部炎症。不过，携带病毒期间恒河猴的“排毒（viral shedding）”并未减少，即仍具有传播性。,当地时间4月16日，芝加哥大学医学院进行的一项吉利德科学公司的抗病毒药物瑞德西韦治疗重度新冠肺炎患者的3期临床试验数据被提前泄露，发现大多数患者“发热和呼吸道症状可迅速恢复”，几乎所有患者均在不到一周的时间内出院。",每日经济新闻,FAUKA4OM0001899O,2020-04-24 01:03:50,吉利德科学盘中大跌 媒体称瑞德西韦首次试验失败_网易新闻,https://news.163.com/20/0424/01/FAUKA4OM0001899O.html,https://m.nbd.com.cn/articles/2020-04-24/1428059.html
